iter	Logloss
0	0.5064841239
1	0.4662749662
2	0.4474311819
3	0.4332415188
4	0.4164106194
5	0.3853243392
6	0.3592484267
7	0.3275688436
8	0.3205659153
9	0.3054361356
10	0.2849861769
11	0.2751173451
12	0.2609337661
13	0.254533768
14	0.2454883231
15	0.2326936584
16	0.2245674535
17	0.2097929706
18	0.2014676238
19	0.1882524277
20	0.1841307595
21	0.172930467
22	0.1666283292
23	0.1622269299
24	0.1544988293
25	0.1487051963
26	0.1447209756
27	0.1392505222
28	0.132756791
29	0.1267381292
30	0.1202455242
31	0.1076964769
32	0.1012382815
33	0.1003613242
34	0.09976330992
35	0.0959913613
36	0.09239432158
37	0.08972625881
38	0.08763260219
39	0.0873118489
40	0.08466950638
41	0.08285378007
42	0.07958260628
43	0.0781015346
44	0.07671146254
45	0.07362878297
46	0.07171178375
47	0.06913689349
48	0.06501950045
49	0.06304191792
50	0.06244252416
51	0.06107564394
52	0.05984824535
53	0.05588821175
54	0.05528165919
55	0.05343965281
56	0.05328777958
57	0.0524034474
58	0.05085302339
59	0.04939829069
60	0.04780316272
61	0.04755087437
62	0.04593953738
63	0.04418249459
64	0.04188863508
65	0.04066954689
66	0.03985993029
67	0.03851223368
68	0.03799306684
69	0.03489683643
70	0.03457704752
71	0.03346516734
72	0.03255467377
73	0.03139281577
74	0.03070848346
75	0.02923292413
76	0.0286746814
77	0.0270415687
78	0.0265990445
79	0.02578275365
80	0.02489100821
81	0.02458396351
82	0.02346151912
83	0.0230805655
84	0.02288640961
85	0.02288629692
86	0.02244577849
87	0.02193803666
88	0.02139916089
89	0.0210724733
90	0.02091591151
91	0.02075575252
92	0.02013875933
93	0.02013835493
94	0.01999159637
95	0.01989286688
96	0.01978882651
97	0.019378192
98	0.01908605918
99	0.0177618872
100	0.01729890325
101	0.01699751486
102	0.01696386272
103	0.01642998543
104	0.01600584002
105	0.01548529059
106	0.01539018865
107	0.01508756081
108	0.01497363889
109	0.01464651721
110	0.0143356256
111	0.01424843106
112	0.01411468609
113	0.01406250583
114	0.01390828321
115	0.01377247616
116	0.01377170291
117	0.01376788462
118	0.01376708758
119	0.01376698388
120	0.01376604749
121	0.0137658713
122	0.01368460135
123	0.01348954029
124	0.01332564569
125	0.01319767317
126	0.01301432596
127	0.01285027615
128	0.01270099523
129	0.01248939424
130	0.01244676238
131	0.01224292286
132	0.01219918076
133	0.01196780396
134	0.01172781496
135	0.01168767584
136	0.01162988186
137	0.01155412791
138	0.01146304683
139	0.01133626717
140	0.01119395085
141	0.01108077366
142	0.01102715353
143	0.01084994018
144	0.01076148464
145	0.01046863537
146	0.01021806757
147	0.01006041107
148	0.009903474808
149	0.009754148064
150	0.009563318244
151	0.009447447767
152	0.00928086528
153	0.009196579359
154	0.009024541583
155	0.008874727305
156	0.00887461629
157	0.008795104151
158	0.008712277952
159	0.008676878979
160	0.008676600729
161	0.008676544946
162	0.008673284278
163	0.008673039426
164	0.008672741559
165	0.008672645622
166	0.008597342284
167	0.008456271992
168	0.008337541004
169	0.008182369143
170	0.008182188843
171	0.008180749907
172	0.008180776834
173	0.008167335107
174	0.008167002598
175	0.008167054012
176	0.008166879922
177	0.008165320842
178	0.00816508589
179	0.008164065624
180	0.008163757105
181	0.008163541319
182	0.008160929766
183	0.008160924254
184	0.008105811211
185	0.007979669315
186	0.007932832072
187	0.007932541741
188	0.007932495517
189	0.007917414314
190	0.007917399602
191	0.007917265763
192	0.007917158723
193	0.007917070576
194	0.007917152365
195	0.007916972539
196	0.007916990476
197	0.007916541073
198	0.007916409116
199	0.007914675069
